		callBack	staticCB	dynamicCB	implicitCB	atypicalICC	implicitICC	stringOp	staticVal	callContext	async	polym	nonAct	dynamicBC	fragment	adapter	widget	otherClass	isLibraryInvocation	staticCBOnly	dynamicCBOnly	implicitCBonly	atypicalICCOnly	implicitICCOnly	stringOpOnly	staticValOnly	callContextOnly	asyncOnly	polymOnly	nonActonly	dynamicBCOnly	fragmentOnly	adapterOnly	widgetOnly	otherClassOnly	libraryonly
me.blog.korn123.easydiary	ICCBot      	4	0	2	2	0	0	0	0	4	0	0	0	0	2	2	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
me.blog.korn123.easydiary	IC3         	24	0	17	11	1	0	0	0	20	2	0	1	0	5	9	1	21	0	0	2	0	0	0	0	0	11	0	0	0	2	0	0	0	0	0
me.blog.korn123.easydiary	IC3Dial     	24	0	17	11	1	0	0	0	20	2	0	1	0	5	9	1	21	0	0	2	0	0	0	0	0	11	0	0	0	2	0	0	0	0	0
me.blog.korn123.easydiary	Gator         	2	0	1	1	1	0	0	0	2	0	0	1	0	0	1	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
me.blog.korn123.easydiary	A3E         	24	0	17	11	1	0	0	0	20	2	0	1	0	5	9	1	21	0	0	2	0	0	0	0	0	11	0	0	0	2	0	0	0	0	0
me.blog.korn123.easydiary	Story         	22	0	15	11	1	0	0	0	20	2	0	1	0	5	9	1	21	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
net.osmand.plus	oracle       	31	0	29	4	0	0	0	0	17	0	1	0	0	9	7	0	18	0	0	9	1	0	0	0	0	4	0	0	0	9	0	0	0	0	0
net.osmand.plus	ICCBot      	10	0	10	2	0	0	0	0	5	0	0	0	0	6	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
net.osmand.plus	IC3         	31	0	29	4	0	0	0	0	17	0	1	0	0	9	7	0	18	0	0	9	1	0	0	0	0	4	0	0	0	9	0	0	0	0	0
net.osmand.plus	IC3Dial     	31	0	29	4	0	0	0	0	17	0	1	0	0	9	7	0	18	0	0	9	1	0	0	0	0	4	0	0	0	9	0	0	0	0	0
net.osmand.plus	Gator         	22	0	21	3	0	0	0	0	14	0	0	0	0	9	6	0	11	0	0	5	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0
net.osmand.plus	A3E         	31	0	29	4	0	0	0	0	17	0	1	0	0	9	7	0	18	0	0	9	1	0	0	0	0	4	0	0	0	9	0	0	0	0	0
net.osmand.plus	Story         	31	0	29	4	0	0	0	0	17	0	1	0	0	9	7	0	18	0	0	9	1	0	0	0	0	4	0	0	0	9	0	0	0	0	0
OpenGPSTracker	oracle       	12	0	4	11	1	5	0	5	0	2	1	7	0	0	0	0	3	0	0	1	8	0	0	0	0	0	1	0	2	1	0	0	0	0	0
OpenGPSTracker	ICCBot      	1	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OpenGPSTracker	IC3         	5	0	1	5	1	2	0	2	0	1	1	2	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OpenGPSTracker	IC3Dial     	12	0	4	11	1	5	0	5	0	2	1	7	0	0	0	0	3	0	0	1	8	0	0	0	0	0	1	0	2	1	0	0	0	0	0
OpenGPSTracker	A3E         	9	0	3	8	1	5	0	5	0	2	1	5	0	0	0	0	3	0	0	1	6	0	0	0	0	0	1	0	0	1	0	0	0	0	0
OpenGPSTracker	Story         	3	0	1	3	1	5	0	5	0	1	1	6	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OpenKeychain	oracle       	59	3	47	19	7	2	0	0	29	1	1	1	0	34	3	0	3	4	0	8	7	0	1	0	0	0	0	0	1	8	8	0	0	0	3
OpenKeychain	ICCBot      	9	0	8	1	0	2	0	0	2	0	0	0	0	7	3	0	0	1	0	2	0	0	1	0	0	0	0	0	0	2	1	0	0	0	1
OpenKeychain	IC3Dial     	59	3	47	19	7	2	0	0	29	1	1	1	0	34	3	0	3	4	0	8	7	0	1	0	0	0	0	0	1	8	8	0	0	0	3
OpenKeychain	Gator         	25	2	24	4	7	2	0	0	17	0	0	1	0	17	1	0	0	1	0	2	0	0	1	0	0	0	0	0	1	2	5	0	0	0	1
OpenKeychain	A3E         	47	1	37	17	7	2	0	0	29	1	1	1	0	32	3	0	3	2	0	2	5	0	1	0	0	0	0	0	1	2	6	0	0	0	1
OpenKeychain	Story         	44	1	39	12	7	2	0	0	29	1	1	1	0	31	3	0	3	2	0	4	0	0	1	0	0	0	0	0	1	4	5	0	0	0	1
org.epstudios.epmobile	oracle       	104	0	44	60	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	60	0	44	0	0	0	0	0
org.epstudios.epmobile	ICCBot      	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
org.epstudios.epmobile	IC3         	33	0	0	33	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0
org.epstudios.epmobile	IC3Dial     	33	0	0	33	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0
org.epstudios.epmobile	Gator         	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
org.epstudios.epmobile	A3E         	61	0	1	60	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	60	0	1	0	0	0	0	0
org.epstudios.epmobile	Story         	33	0	0	33	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0
org.liberty.android.fantastischmemo	oracle       	43	0	28	25	2	0	0	0	0	3	0	5	0	15	18	2	0	0	0	9	13	1	0	0	0	0	0	0	1	9	0	0	0	0	0
org.liberty.android.fantastischmemo	ICCBot      	15	0	15	9	1	0	0	0	0	0	0	2	0	15	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
org.liberty.android.fantastischmemo	IC3         	20	0	18	11	2	0	0	0	0	3	0	4	0	15	18	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
org.liberty.android.fantastischmemo	IC3Dial     	43	0	28	25	2	0	0	0	0	3	0	5	0	15	18	2	0	0	0	9	13	1	0	0	0	0	0	0	1	9	0	0	0	0	0
org.liberty.android.fantastischmemo	Gator         	21	0	19	11	2	0	0	0	0	3	0	5	0	15	18	2	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0
org.liberty.android.fantastischmemo	A3E         	25	0	18	16	2	0	0	0	0	3	0	4	0	15	18	1	0	0	0	0	5	1	0	0	0	0	0	0	1	0	0	0	0	0	0
org.liberty.android.fantastischmemo	Story         	17	0	15	11	2	0	0	0	0	0	0	5	0	15	15	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
org.smssecure.smssecure	oracle       	34	0	18	20	0	0	0	0	8	4	16	5	0	13	8	0	0	0	0	2	12	0	0	0	0	3	2	3	3	2	0	1	0	0	0
org.smssecure.smssecure	ICCBot      	7	0	4	4	0	0	0	0	2	1	4	1	0	3	4	0	0	0	0	0	2	0	0	0	0	1	0	3	0	0	0	1	0	0	0
